Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
31.009458,68.22419355,2.076580645,631.3409235,27.14030718,40.74494583,30.24814999,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.009458,68.22419355,2.076580645,631.3409235,27.14030718,40.74494583,30.24814999,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
29.347161,68.22419355,2.076580645,631.3409235,25.68779167,39.0229429,28.72075885,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
30.04259,68.22419355,2.076580645,631.3409235,26.28758326,39.74289659,29.3541466,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
31.021989,68.22419355,2.076580645,631.3409235,27.15111457,40.75794113,30.25956732,,,,,,,,,,,,,,,,,,
30.04259,68.22419355,2.076580645,631.3409235,26.28758326,39.74289659,29.3541466,,,,,,,,,,,,,,,,,,
30.04259,68.22419355,2.076580645,631.3409235,26.28758326,39.74289659,29.3541466,,,,,,,,,,,,,,,,,,
30.04259,68.22419355,2.076580645,631.3409235,26.28758326,39.74289659,29.3541466,,,,,,,,,,,,,,,,,,
29.347161,68.22419355,2.076580645,631.3409235,25.68779167,39.0229429,28.72075885,,,,,,,,,,,,,,,,,,
31.021989,79.34790374,0.908132719,561.6296296,29.33179956,42.7315503,32.18076866,,,,,,,,,,,,,,,,,,
30.634541,79.34790374,0.908132719,561.6296296,28.98663251,42.32650137,31.81939713,,,,,,,,,,,,,,,,,,
31.021989,79.34790374,0.908132719,561.6296296,29.33179956,42.7315503,32.18076866,,,,,,,,,,,,,,,,,,
29.347161,79.34790374,0.908132719,561.6296296,27.8216697,40.9824685,30.60637859,,,,,,,,,,,,,,,,,,
24.614107,79.34790374,0.908132719,561.6296296,23.59421404,36.0648586,26.19033225,,,,,,,,,,,,,,,,,,
29.347161,79.34790374,0.908132719,561.6296296,27.8216697,40.9824685,30.60637859,,,,,,,,,,,,,,,,,,
